x1,x2,x3,x4,x5,x6,x7,actual y1,actual y2,actual y3,,theta values for y1,0.91572896,-1.80012011,7.54930852,0.32024571,-0.368518,1.10706391,0.20249522,predicted y1,,theta vaues for y2,-0.00065351,0.03896763,0.10953545,-0.04470035,-0.07602909,0.64768152,-0.00427916,predicted y2,,theta values for y3,-0.04240549,-0.03878085,0.00791711,0.0058794,-0.04304734,0.63151059,-0.04253519,predicted y3,,,
66.66666667,10,0.666666667,1,4.666666667,6.666666667,11.33333333,48,4.2,0.36,,,61.04859734,-18.0012011,5.032872349,0.32024571,-1.719750667,7.380426067,2.294945826,56.35613552,,,-0.043567333,0.3896763,0.073023633,-0.04470035,-0.35480242,4.3178768,-0.048497147,4.289009484,,,-2.827032667,-0.3878085,0.005278073,0.0058794,-0.200887587,4.2100706,-0.482065487,0.323433834,,,Y3= Friability
43.33333333,13.33333333,0.666666667,1,4.666666667,6.666666667,31.33333333,42,4.6,0.52,,,39.68158826,-24.00160146,5.032872349,0.32024571,-1.719750667,7.380426067,6.344850226,33.03863049,,,-0.028318767,0.5195684,0.073023633,-0.04470035,-0.35480242,4.3178768,-0.134080347,4.34856695,,,-1.837571233,-0.517078,0.005278073,0.0058794,-0.200887587,4.2100706,-1.332769287,0.332921967,,,
50,13.33333333,0.666666667,1,4.666666667,6.666666667,24.66666667,46,4,0.48,,,45.786448,-24.00160146,5.032872349,0.32024571,-1.719750667,7.380426067,4.994882094,37.79352209,,,-0.0326755,0.5195684,0.073023633,-0.04470035,-0.35480242,4.3178768,-0.105552613,4.37273795,,,-2.1202745,-0.517078,0.005278073,0.0058794,-0.200887587,4.2100706,-1.049201353,0.333786634,,,actual y1 = 37.75
66.66666667,13.33333333,0.666666667,1,4.666666667,6.666666667,8,40,4.6,0.5,,,61.04859734,-24.00160146,5.032872349,0.32024571,-1.719750667,7.380426067,1.61996176,49.6807511,,,-0.043567333,0.5195684,0.073023633,-0.04470035,-0.35480242,4.3178768,-0.03423328,4.43316545,,,-2.827032667,-0.517078,0.005278073,0.0058794,-0.200887587,4.2100706,-0.34028152,0.3359483,,,predicted y1 = 37.74993
50,10,1.333333333,1,4.666666667,6.666666667,27.33333333,48,4.4,0.56,,,45.786448,-18.0012011,10.06574469,0.32024571,-1.719750667,7.380426067,5.534869346,49.36678205,,,-0.0326755,0.3896763,0.146047267,-0.04470035,-0.35480242,4.3178768,-0.116963707,4.30445839,,,-2.1202745,-0.3878085,0.010556147,0.0058794,-0.200887587,4.2100706,-1.162628527,0.354907034,,,
43.33333333,13.33333333,1.333333333,1,4.666666667,6.666666667,30.66666667,25,5.1,0.39,,,39.68158826,-24.00160146,10.06574469,0.32024571,-1.719750667,7.380426067,6.209853414,37.93650602,,,-0.028318767,0.5195684,0.146047267,-0.04470035,-0.35480242,4.3178768,-0.131227573,4.424443357,,,-1.837571233,-0.517078,0.010556147,0.0058794,-0.200887587,4.2100706,-1.304412493,0.366556834,,,
50,13.33333333,1.333333333,1,4.666666667,6.666666667,24,55,4.1,0.43,,,45.786448,-24.00160146,10.06574469,0.32024571,-1.719750667,7.380426067,4.85988528,42.69139762,,,-0.0326755,0.5195684,0.146047267,-0.04470035,-0.35480242,4.3178768,-0.10269984,4.448614357,,,-2.1202745,-0.517078,0.010556147,0.0058794,-0.200887587,4.2100706,-1.02084456,0.3674215,,,actual y2 = 24.416071
66.66666667,13.33333333,1.333333333,1,4.666666667,6.666666667,7.333333333,56,4,0.29,,,61.04859734,-24.00160146,10.06574469,0.32024571,-1.719750667,7.380426067,1.484964947,54.57862662,,,-0.043567333,0.5195684,0.146047267,-0.04470035,-0.35480242,4.3178768,-0.031380507,4.509041857,,,-2.827032667,-0.517078,0.010556147,0.0058794,-0.200887587,4.2100706,-0.311924727,0.369583167,,,predicted y2 = 4.41608
43.33333333,16.66666667,0.666666667,0,4.666666667,6.666666667,28,16,4,0.48,,,39.68158826,-30.00200184,5.032872349,0,-1.719750667,7.380426067,5.66986616,26.04300033,,,-0.028318767,0.6494605,0.073023633,0,-0.35480242,4.3178768,-0.11981648,4.537423267,,,-1.837571233,-0.6463475,0.005278073,0,-0.200887587,4.2100706,-1.19098532,0.339557034,,,
43.33333333,13.33333333,1,0,4.666666667,6.666666667,31,43,5.5,0.28,,,39.68158826,-24.00160146,7.54930852,0,-1.719750667,7.380426067,6.27735182,35.16732254,,,-0.028318767,0.5195684,0.10953545,0,-0.35480242,4.3178768,-0.13265396,4.431205503,,,-1.837571233,-0.517078,0.00791711,0,-0.200887587,4.2100706,-1.31859089,0.34386,,,
43.33333333,16.66666667,1,0,4.666666667,6.666666667,27.66666667,28,5,0.42,,,39.68158826,-30.00200184,7.54930852,0,-1.719750667,7.380426067,5.602367754,28.4919381,,,-0.028318767,0.6494605,0.10953545,0,-0.35480242,4.3178768,-0.118390093,4.57536147,,,-1.837571233,-0.6463475,0.00791711,0,-0.200887587,4.2100706,-1.176806923,0.356374467,,,actual y3 = 0.350893
